区分,席次,棋士番号,棋士名,段位,称号,生年月日,四段昇段日,五段昇段日,六段昇段日,七段昇段日,八段昇段日,九段昇段日,初タイトル,生年戴冠所要日数,初戴冠年齢,四段戴冠所要日数,初戴冠までの年数,引退日,逝去日
引退,226,128,東和男,八段,,1955-08-17,1976-07-16,1980-04-01,1984-04-01,1992-12-18,2015-04-01,,,,,,,2021-05-17,
引退,227,118,伊藤果,八段,,1950-09-16,1975-06-19,1981-04-01,1986-12-02,1995-10-06,2016-04-01,,,,,,,2011-06-07,
引退,228,141,児玉孝一,八段,,1951-02-21,1980-01-07,1983-04-01,1985-04-01,1995-01-18,2016-04-01,,,,,,,2011-08-10,
引退,229,98,若松政和,八段,,1939-08-10,1967-10-01,1973-11-03,1984-04-01,1999-04-01,2019-04-01,,,,,,,2000-03-31,
引退,230,117,飯野健二,八段,,1954-07-07,1975-03-04,1981-11-17,1986-12-08,1998-05-29,2019-04-01,,,,,,,2011-07-06,
引退,231,112,小阪昇,八段,,1950-02-18,1973-10-01,1980-11-17,1987-07-09,1999-09-28,2020-04-01,,,,,,,2010-07-14,
引退,232,130,大島映二,八段,,1957-06-06,1976-10-01,1984-04-01,1989-08-22,2000-03-06,2020-04-01,,,,,,,2015-03-12,
引退,233,178,長沼洋,八段,,1965-02-08,1986-07-21,1991-07-31,1997-11-07,2006-01-26,2020-08-31,,,,,,,2025-05-01,
引退,234,158,有森浩三,八段,,1963-02-13,1983-03-09,1986-08-26,1991-07-13,2000-09-07,2022-04-01,,,,,,,2025-05-15,
引退,235,153,室岡克彦,八段,,1959-03-21,1981-12-16,1985-04-01,1991-05-22,2002-05-30,2023-04-01,,,,,,,2024-06-18,
引退,236,154,堀口弘治,八段,,1961-05-16,1982-02-03,1986-04-01,1992-03-31,2003-12-16,2024-04-01,,,,,,,2017-06-01,
引退,237,219,中座真,八段,,1970-02-03,1996-04-01,2001-08-17,2007-04-11,2007-09-20,2024-04-01,,,,,,,2024-06-19,
引退,238,120,桐谷広人,八段,,1949-10-15,1975-07-14,1982-11-17,1990-12-05,2005-04-01,2025-04-01,,,,,,,2007-03-31,
引退,239,91,田辺一郎,七段,,1938-08-01,1965-04-01,1973-11-03,1984-04-01,1999-04-01,,,,,,,,1999-03-31,
引退,240,132,松浦隆一,七段,,1951-12-24,1977-02-04,1983-11-17,1991-09-17,2006-04-01,,,,,,,,2011-06-10,
引退,241,108,森安正幸,七段,,1947-05-20,1971-10-01,1978-11-17,1992-02-25,2007-04-01,,,,,,,,2004-03-31,
引退,242,125,酒井順吉,七段,,1949-06-18,1976-03-19,1982-11-17,1992-03-17,2007-04-01,,,,,,,,2006-05-02,
引退,243,126,森信雄,七段,,1952-02-10,1976-04-05,1984-04-01,1992-10-15,2007-04-01,,,,,,,,2017-05-16,
引退,244,129,中田章道,七段,,1952-01-19,1976-08-19,1984-04-01,1992-04-28,2007-04-01,,,,,,,,2004-03-31,
引退,245,150,植山悦行,七段,,1957-04-28,1981-04-02,1987-04-06,1994-07-29,2007-04-01,,,,,,,,2013-06-28,
引退,246,177,石川陽生,七段,,1963-03-05,1986-05-14,1991-07-16,1998-07-30,2007-10-23,,,,,,,,2023-09-14,
引退,247,155,大野八一雄,七段,,1959-03-07,1982-06-07,1987-09-16,1993-11-16,2009-04-01,,,,,,,,2014-05-01,
引退,248,167,小林宏,七段,,1962-12-18,1984-08-03,1989-05-19,1995-11-29,2009-11-25,,,,,,,,2022-04-19,
引退,249,160,神吉宏充,七段,,1959-03-01,1983-07-26,1988-01-17,1996-04-11,2010-04-01,,,,,,,,2011-06-01,
引退,250,121,沼春雄,七段,,1949-03-23,1975-07-29,1984-04-01,1996-02-02,2011-04-01,,,,,,,,2009-03-31,
引退,251,122,有野芳人,七段,,1948-09-09,1975-11-19,1982-11-17,1994-11-17,2011-04-01,,,,,,,,1991-03-31,
引退,252,140,瀬戸博晴,七段,,1956-11-06,1979-10-01,1988-11-01,1999-04-01,2014-04-01,,,,,,,,2000-06-08,
引退,253,145,依田有司,七段,,1957-12-23,1980-09-03,1987-09-08,1999-04-01,2014-04-01,,,,,,,,2010-03-25,
引退,254,152,武市三郎,七段,,1954-03-30,1981-11-11,1987-03-19,1997-05-29,2014-04-01,,,,,,,,2014-04-30,
引退,255,156,加瀬純一,七段,,1957-11-26,1982-08-05,1988-11-25,2000-04-01,2015-04-01,,,,,,,,2008-03-31,
引退,256,174,安西勝一,七段,,1963-07-02,1985-12-18,1991-05-28,2000-03-14,2016-04-01,,,,,,,,2015-04-01,
引退,257,181,櫛田陽一,七段,,1964-12-09,1987-03-05,1992-07-21,2001-04-01,2016-04-01,,,,,,,,2012-06-29,
引退,258,191,高田尚平,七段,,1962-06-21,1989-04-01,1993-07-02,2001-04-18,2016-04-01,,,,,,,,2019-08-09,
引退,259,159,飯田弘之,七段,,1962-01-17,1983-03-04,1988-12-06,2000-04-01,2017-04-01,,,,,,,,2014-03-31,
引退,260,166,伊藤博文,七段,,1960-02-08,1984-08-01,1991-04-08,2002-04-01,2017-04-01,,,,,,,,2020-05-26,
引退,261,187,木下浩一,七段,,1967-08-29,1988-04-01,1993-06-08,2001-02-19,2017-04-01,,,,,,,,2025-04-23,
引退,262,206,川上猛,七段,,1972-07-12,1993-04-01,1999-06-03,2005-09-20,2017-10-17,,,,,,,,2025-09-16,
引退,263,228,伊奈祐介,七段,,1975-12-18,1998-04-01,2004-08-13,2008-05-22,2019-10-23,,,,,,,,2024-05-10,
引退,264,170,本間博,七段,,1958-07-13,1985-06-10,1993-12-01,2006-04-01,2021-04-01,,,,,,,,2003-03-31,
引退,265,186,野田敬三,七段,,1958-01-24,1988-04-01,1997-02-04,2008-04-01,2023-04-01,,,,,,,,2013-06-27,
引退,266,225,増田裕司,七段,,1971-02-07,1997-10-01,2002-11-19,2009-09-11,2024-04-01,,,,,,,,2025-04-23,
引退,267,230,中尾敏之,六段,,1974-10-24,1998-10-01,2007-05-09,2019-04-01,,,,,,,,,2018-08-13,
引退,268,238,上野裕和,六段,,1977-04-13,2000-10-01,2007-04-01,2019-04-01,,,,,,,,,2023-05-16,
引退,269,232,金沢孝史,六段,,1973-05-13,1999-04-01,2006-07-10,2023-04-01,,,,,,,,,2021-05-17,
引退,270,244,熊坂学,六段,,1977-05-17,2002-04-01,2011-04-01,2023-04-01,,,,,,,,,2015-05-07,
引退,271,245,藤倉勇樹,六段,,1979-10-23,2002-10-01,2012-04-01,2024-04-01,,,,,,,,,2022-05-19,
物故,300,54,熊谷達人,九段,,1930-12-07,,,,,,,,,,,,,1977-04-12
物故,301,47,清野静男,八段,,1922-08-14,,,,,,,,,,,,,1977-08-28
物故,302,11,塚田正夫,,名誉十段,1914-08-02,1932-01-01,,,,,,1947-06-06,11996,32歳10ヶ月4日,5635,15年5ヶ月5日,,1977-12-30
物故,303,12,梶一郎,九段,,1912-06-06,,,,,,,,,,,,,1978-01-20
物故,304,7,大野源一,九段,,1911-09-01,,,,,,,,,,,,,1979-01-14
物故,305,23,岡崎史明,八段,,1907-06-15,,,,,,,,,,,,,1979-11-26
物故,306,94,高田丈資,七段,,1937-04-12,,,,,,,,,,,,,1980-06-01
物故,307,1,金易二郎,,名誉九段,1890-10-10,,,,,,,,,,,,,1980-06-23
物故,308,51,二見敬三,七段,,1932-02-20,,,,,,,,,,,,,1980-08-02
物故,309,55,増田敏二,六段,,1915-08-14,,,,,,,,,,,,,1980-10-26
物故,310,30,本間爽悦,八段,,1919-12-23,,,,,,,,,,,,,1981-03-13
物故,311,6,中井捨吉,八段,,1892-08-28,,,,,,,,,,,,,1981-08-20
物故,312,9,市川一郎,八段,,1903-02-18,,,,,,,,,,,,,1981-09-29
物故,313,38,北村秀治郎,八段,,1907-12-15,,,,,,,,,,,,,1982-05-01
物故,314,22,加藤恵三,八段,,1908-12-05,,,,,,,,,,,,,1982-06-26
物故,315,44,灘蓮照,九段,,1927-03-16,,,,,,,,,,,,,1984-04-26
物故,316,8,志沢春吉,八段,,1899-01-03,,,,,,,,,,,,,1985-01-12
物故,317,16,奥野基芳,八段,,1905-11-27,,,,,,,,,,,,,1985-02-13
物故,318,21,永沢勝雄,八段,,1904-04-13,,,,,,,,,,,,,1985-02-22
物故,319,13,角田三男,八段,,1910-02-02,,,,,,,,,,,,,1985-05-06
物故,320,39,花村元司,九段,,1917-11-18,,,,,,,,,,,,,1985-05-25
物故,321,4,渡辺東一,,名誉九段,1905-12-25,,,,,,,,,,,,,1985-05-27
物故,322,19,高島一岐代,九段,,1916-05-18,,,,,,,,,,,,,1986-07-29
物故,323,2,木村義雄,,十四世名人,1905-02-21,1920-01-01,,,,,,1937-12-06,11976,32歳9ヶ月15日,6549,17年11ヶ月5日,,1986-11-17
物故,324,15,松下力,九段,,1913-03-07,,,,,,,,,,,,,1987-11-16
物故,325,68,芹沢博文,九段,,1936-10-23,,,,,,,,,,,,,1987-12-09
物故,326,5,萩原淳,九段,,1904-10-11,,,,,,,,,,,,,1987-12-14
物故,327,84,板谷進,九段,,1940-12-10,,,,,,,,,,,,,1988-02-24
物故,328,25,松田茂役,九段,,1921-06-28,,,,,,,,,,,,,1988-08-02
物故,329,45,平野広吉,七段,,1915-09-05,,,,,,,,,,,,,1989-01-16
物故,330,3,金子金五郎,九段,,1902-01-06,,,,,,,,,,,,,1990-01-06
物故,331,10,坂口允彦,九段,,1908-12-10,,,,,,,,,,,,,1990-01-18
物故,332,18,升田幸三,,実力制第四代名人,1918-03-21,1936-01-01,,,,,,1952-02-12,12381,33歳10ヶ月22日,5886,16年1ヶ月11日,,1991-04-05
物故,333,33,吉田六彦,七段,,1910-03-01,,,,,,,,,,,,,1991-10-07
物故,334,26,大山康晴,,十五世名人,1923-03-13,1940-02-25,,,,,,1950-07-07,9978,27歳3ヶ月24日,3785,10年4ヶ月12日,,1992-07-26
物故,335,76,北村文男,七段,,1920-10-04,,,,,,,,,,,,,1993-01-14
物故,336,50,下平幸男,八段,,1924-11-16,,,,,,,,,,,,,1993-05-25
物故,337,163,小野敦生,六段,,1962-05-12,,,,,,,,,,,,,1993-05-25
物故,338,20,荒巻三之,九段,,1915-03-28,,,,,,,,,,,,,1993-10-29
物故,339,59,津村常吉,七段,,1923-07-28,,,,,,,,,,,,,1993-11-03
物故,340,99,森安秀光,九段,,1949-08-18,1968-04-01,1970-04-01,1975-04-01,1978-04-01,1980-04-01,1988-01-27,1983-08-04,12404,33歳11ヶ月17日,5603,15年4ヶ月3日,,1993-11-22
物故,341,41,佐瀬勇次,,名誉九段,1919-03-17,,,,,,,,,,,,,1994-03-25
物故,342,27,山本武雄,九段,,1917-01-05,,,,,,,,,,,,,1994-07-25
物故,343,49,木川貴一,六段,,1920-01-14,,,,,,,,,,,,,1994-08-30
物故,344,40,山川次彦,八段,,1920-01-18,,,,,,,,,,,,,1994-12-10
物故,345,28,山中和正,八段,,1914-12-15,,,,,,,,,,,,,1994-12-15
物故,346,36,星田啓三,八段,,1917-01-08,,,,,,,,,,,,,1995-07-20
物故,347,37,南口繁一,九段,,1918-09-04,,,,,,,,,,,,,1995-09-20
物故,348,29,板谷四郎,九段,,1913-06-10,,,,,,,,,,,,,1995-09-29
物故,349,17,小堀清一,九段,,1912-02-10,,,,,,,,,,,,,1996-02-02
物故,350,14,加藤治郎,,名誉九段,1910-06-01,,,,,,,,,,,,,1996-11-03
物故,351,83,高島弘光,八段,,1941-09-15,,,,,,,,,,,,,1996-12-27
物故,352,24,北楯修哉,九段,,1912-11-15,,,,,,,,,,,,,1997-01-31
物故,353,53,神田鎮雄,七段,,1930-03-13,,,,,,,,,,,,,1997-08-30
物故,354,34,富沢幹雄,八段,,1920-04-20,,,,,,,,,,,,,1998-01-10
物故,355,180,村山聖,九段,,1969-06-15,1986-11-05,1988-04-01,1991-10-31,1993-04-01,1995-04-01,1998-08-09,,,,,,,1998-08-08
物故,356,62,大友昇,九段,,1931-08-06,,,,,,,,,,,,,2000-08-08
物故,357,48,佐藤豊,六段,,1914-07-05,,,,,,,,,,,,,2001-05-16
物故,358,72,大原英二,七段,,1929-01-10,,,,,,,,,,,,,2001-07-13
物故,359,58,橋本三治,八段,,1925-12-12,,,,,,,,,,,,,2002-02-03
物故,360,78,伊達康夫,八段,,1936-07-22,,,,,,,,,,,,,2003-01-06
物故,361,35,原田泰夫,九段,,1923-03-01,,,,,,,,,,,,,2004-07-11
物故,362,81,山口千嶺,八段,,1937-06-11,,,,,,,,,,,,,2004-09-03
物故,363,63,佐藤庄平,八段,,1933-01-14,,,,,,,,,,,,,2005-11-09
物故,364,102,池田修一,七段,,1945-02-12,,,,,,,,,,,,,2006-07-03
物故,365,31,高柳敏夫,,名誉九段,1920-02-20,,,,,,,,,,,,,2006-09-05
物故,366,165,達正光,七段,,1965-04-18,,,,,,,,,,,,,2007-04-01
物故,367,111,真部一男,九段,,1952-02-16,,,,,,,,,,,,,2007-11-24
物故,368,134,小野修一,八段,,1958-02-12,,,,,,,,,,,,,2008-01-11
物故,369,32,広津久雄,九段,,1923-02-26,,,,,,,,,,,,,2008-04-16
物故,370,46,五十嵐豊一,九段,,1924-09-27,,,,,,,,,,,,,2008-08-30
物故,371,115,椎橋金司,六段,,1948-10-10,,,,,,,,,,,,,2009-01-16
物故,372,74,佐藤大五郎,九段,,1936-10-19,,,,,,,,,,,,,2010-09-01
物故,373,88,木下晃,七段,,1939-08-15,,,,,,,,,,,,,2010-10-08
物故,374,56,浅沼一,七段,,1924-12-18,,,,,,,,,,,,,2011-08-10
物故,375,52,西本馨,七段,,1923-08-10,,,,,,,,,,,,,2012-01-14
物故,376,85,米長邦雄,,永世棋聖,1943-06-10,1963-04-01,1965-04-01,1966-04-01,1969-04-01,1971-04-01,1979-04-01,1973-07-20,10998,30歳1ヶ月10日,3763,10年3ヶ月19日,2003-12-18,2012-12-18
物故,377,42,加藤博二,九段,,1923-09-15,,,,,,,,,,,,,2013-09-15
物故,378,95,河口俊彦,八段,,1936-11-23,,,,,,,,,,,,,2015-01-30
物故,379,43,丸田祐三,九段,,1919-03-30,,,,,,,,,,,,,2015-02-18
物故,380,69,関屋喜代作,八段,,1933-12-15,,,,,,,,,,,,,2015-12-05
物故,381,73,剱持松二,九段,,1934-07-21,,,,,,,,,,,,,2016-01-07
物故,382,57,二上達也,九段,,1932-01-02,1950-04-01,1952-04-01,1953-04-01,1954-04-01,1956-04-01,1973-11-03,1963-03-20,11400,31歳2ヶ月18日,4736,12年11ヶ月19日,1990-03-01,2016-11-01
物故,383,205,伊藤能,七段,,1962-01-16,1992-10-01,,,,,,,,,,,,2016-12-25
物故,384,61,関根茂,九段,,1929-11-05,,,,,,,,,,,,,2017-02-22
物故,385,86,大内延介,九段,,1941-10-02,1963-04-01,1964-04-01,1965-04-01,1970-04-01,1972-04-01,1984-04-01,1976-04-06,12605,34歳6ヶ月4日,4754,13年0ヶ月5日,2010-04-20,2017-06-23
物故,386,70,賀集正三,七段,,1932-02-12,,,,,,,,,,,,,2017-09-06
物故,387,67,長谷部久雄,九段,,1933-07-17,,,,,,,,,,,,,2017-12-27
物故,388,89,山口英夫,八段,,1941-09-08,,,,,,,,,,,,,2018-05-20
物故,389,80,木村嘉孝,七段,,1931-03-26,,,,,,,,,,,,,2019-02-28
物故,390,75,吉田利勝,八段,,1933-07-03,,,,,,,,,,,,,2021-05-23
物故,391,82,木村義徳,九段,,1935-05-02,,,,,,,,,,,,,2021-06-29
物故,392,103,野本虎次,八段,,1945-04-13,,,,,,,,,,,,,2021-10-07
物故,393,151,西川慶二,八段,,1961-12-06,,,,,,,,,,,,,2022-01-17
物故,394,119,菊地常夫,八段,,1949-06-11,,,,,,,,,,,,,2022-05-23
物故,395,133,青木清,七段,,1948-01-05,,,,,,,,,,,,,2022-09-05
物故,396,66,有吉道夫,九段,,1935-07-27,1955-05-15,1957-04-01,1958-04-01,1960-04-01,1965-04-01,1979-04-01,1973-02-05,13708,37歳6ヶ月9日,6476,17年8ヶ月21日,2010-05-24,2022-09-27
物故,397,71,大村和久,八段,,1928-02-18,,,,,,,,,,,,,2023-01-07
物故,398,173,中田宏樹,九段,,1964-10-20,,,,,,,,,,,,,2023-02-07
物故,399,137,武者野勝巳,七段,,1954-01-01,,,,,,,,,,,,,2023-05-08
物故,400,60,北村昌男,九段,,1934-10-30,,,,,,,,,,,,,2023-07-09
物故,401,169,関浩,七段,,1960-07-08,,,,,,,,,,,,,2024-11-11
物故,499,0,山田道美,九段,,1933-12-11,1951-12-31,,,,,,1967-07-24,12278,33歳7ヶ月13日,5684,15年6ヶ月23日,,1970-06-18
退会,500,139,永作芳也,五段,,1955-09-27,1979-10-03,1986-05-09,,,,,,,,,,1988-03-31,
退会,501,239,橋本崇載,八段,,1983-03-03,2001-04-01,2005-02-24,2006-04-01,2006-09-22,2012-02-03,,,,,,,2021-04-02,
